name,diet,period,lived_in,type,length,taxonomy,named_by,species,link,image,coordinates,latitude,longitude,modified_period
Abelisaurus,Carnivorous,Late Cretaceous 74-70 million years ago,Argentina,Large Theropod,9.0,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae Abelisaurinae,Bonaparte and Novas (1985),Comahuensis,https://www.nhm.ac.uk/discover/dino-directory/abelisaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/abeli.jpg,Argentina,-34.9964963,-64.9672817,Late Cretaceous
Aardonyx,Herbivorous,Early Jurassic 199-189 million years ago,South Africa,Sauropod,8.0,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria,Yates Bonnan Neveling Chinsamy and Blackbeard 2010 (2009),Celestae,https://www.nhm.ac.uk/discover/dino-directory/aardonyx.html , http://www.rareresource.com/images/aardonyx-dinosaur-1.jpg ,South Africa,-28.8166236,24.991639,Early Jurassic
Achillobator,Carnivorous,Late Cretaceous 99-84 million years ago,Mongolia,Large Theropod,5.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Perle Norell and Clark (1999),Giganteus,https://www.nhm.ac.uk/discover/dino-directory/achillobator.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Achillobator.jpg,"Mongolia, Markham, Whitchurch-Stouffville, York Region, Golden Horseshoe, Ontario, L4A 1S5, Canada",43.9382593,-79.2235563,Late Cretaceous
Achelousaurus,Herbivorous,Late Cretaceous 83-70 million years ago,USA,Ceratopsian,6.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Sampson  (1995),Horneri,https://www.nhm.ac.uk/discover/dino-directory/achelousaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/achelou.jpg,United States,39.7837304,-100.445882,Late Cretaceous
Acrocanthosaurus,Carnivorous,Early Cretaceous 115-105 million years ago,USA,Large Theropod,12.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,Stovall and Langston (1950),Atokensis,https://www.nhm.ac.uk/discover/dino-directory/acrocanthosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/acrocantho.jpg,United States,39.7837304,-100.445882,Early Cretaceous
Aegyptosaurus,Herbivorous,Late Cretaceous 98-93 million years ago,Egypt,Sauropod,15.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Stromer (1932),Baharijensis,https://www.nhm.ac.uk/discover/dino-directory/aegyptosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/aegypto.jpg,مصر,26.2540493,29.2675469,Late Cretaceous
Afrovenator,Carnivorous,Early Cretaceous 132-121 million years ago,Niger,Large Theropod,9.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,Sereno Wilson Larsson Dutheil and Sues (1944),Abakensis,https://www.nhm.ac.uk/discover/dino-directory/afrovenator.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/afrovenator.jpg,Niger,17.7356214,9.3238432,Early Cretaceous
Agilisaurus,Herbivorous,Late Jurassic 169-159 million years ago,China,Euornithopod,1.5,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Peng (1990),Louderbacki,https://www.nhm.ac.uk/discover/dino-directory/agilisaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Agilisaurus.jpg,中国,35.000074,104.999927,Late Jurassic
Alamosaurus,Herbivorous,Late Cretaceous 70-65 million years ago,USA,Sauropod,21.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,Gilmore (1922),Sanjuanensis,https://www.nhm.ac.uk/discover/dino-directory/alamosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/alamo.jpg,United States,39.7837304,-100.445882,Late Cretaceous
Albertaceratops,Herbivorous,Late Cretaceous 80-75 million years ago,USA,Ceratopsian,7.0,Dinosauria Ornithischia,Ryan 2007,Nesmoi,https://www.nhm.ac.uk/discover/dino-directory/albertaceratops.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/albertaceratops.jpg,United States,39.7837304,-100.445882,Late Cretaceous
Albertosaurus,Carnivorous,Late Cretaceous 76-74 million years ago,Canada,Large Theropod,9.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Albertosaurinae,Lamb (1914),Libratus,https://www.nhm.ac.uk/discover/dino-directory/albertosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/albert.jpg,Canada,61.0666922,-107.991707,Late Cretaceous
Alectrosaurus,Carnivorous,Late Cretaceous 90-70 million years ago,Mongolia,Large Theropod,5.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Gilmore (1933),Olseni,https://www.nhm.ac.uk/discover/dino-directory/alectrosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/alectro.jpg,"Mongolia, Markham, Whitchurch-Stouffville, York Region, Golden Horseshoe, Ontario, L4A 1S5, Canada",43.9382593,-79.2235563,Late Cretaceous
Alioramus,Carnivorous,Late Cretaceous 71-65 million years ago,Mongolia,Large Theropod,6.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Kurzanov (1976),Remotus,https://www.nhm.ac.uk/discover/dino-directory/alioramus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Alioramus.jpg,"Mongolia, Markham, Whitchurch-Stouffville, York Region, Golden Horseshoe, Ontario, L4A 1S5, Canada",43.9382593,-79.2235563,Late Cretaceous
Allosaurus,Carnivorous,Late Jurassic 156-144 million years ago,USA,Large Theropod,12.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae,Marsh (1877),Fragilis,https://www.nhm.ac.uk/discover/dino-directory/allosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/allo.jpg,United States,39.7837304,-100.445882,Late Jurassic
Alvarezsaurus,Carnivorous,Late Cretaceous 89-85 million years ago,Argentina,Small Theropod,2.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,Bonaparte (1991),Calvoi,https://www.nhm.ac.uk/discover/dino-directory/alvarezsaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/alvarez.jpg,Argentina,-34.9964963,-64.9672817,Late Cretaceous
Amargasaurus,Herbivorous,Early Cretaceous 132-127 million years ago,Argentina,Sauropod,12.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae,Salgado and Bonaparte (1991),Cazaui,https://www.nhm.ac.uk/discover/dino-directory/amargasaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Amargasaurus.jpg,Argentina,-34.9964963,-64.9672817,Early Cretaceous
Ammosaurus,Herbivorous,Early Jurassic 195-180 million years ago,USA,Sauropod,5.0,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Anchisauridae,Marsh (1891),Major,https://www.nhm.ac.uk/discover/dino-directory/ammosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/ammo.jpg,United States,39.7837304,-100.445882,Early Jurassic
