name,diet,period,lived_in,type,length,species
aardonyx,herbivorous,Early Jurassic,South Africa,sauropod,8.0,celestae
abelisaurus,carnivorous,Late Cretaceous,Argentina,large theropod,9.0,comahuensis
achelousaurus,herbivorous,Late Cretaceous,USA,ceratopsian,6.0,horneri
achillobator,carnivorous,Late Cretaceous,Mongolia,large theropod,5.0,giganteus
acrocanthosaurus,carnivorous,Early Cretaceous,USA,large theropod,12.0,atokensis
aegyptosaurus,herbivorous,Late Cretaceous,Egypt,sauropod,15.0,baharijensis
afrovenator,carnivorous,Early Cretaceous,Niger,large theropod,9.0,abakensis
agilisaurus,herbivorous,Late Jurassic,China,euornithopod,1.5,louderbacki
alamosaurus,herbivorous,Late Cretaceous,USA,sauropod,21.0,sanjuanensis
albertaceratops,herbivorous,Late Cretaceous,USA,ceratopsian,7.0,nesmoi
albertosaurus,carnivorous,Late Cretaceous,Canada,large theropod,9.0,libratus
alectrosaurus,carnivorous,Late Cretaceous,Mongolia,large theropod,5.0,olseni
alioramus,carnivorous,Late Cretaceous,Mongolia,large theropod,6.0,remotus
allosaurus,carnivorous,Late Jurassic,USA,large theropod,12.0,fragilis
alvarezsaurus,carnivorous,Late Cretaceous,Argentina,small theropod,2.0,calvoi
amargasaurus,herbivorous,Early Cretaceous,Argentina,sauropod,12.0,cazaui
ammosaurus,herbivorous,Early Jurassic,USA,sauropod,5.0,major
ampelosaurus,herbivorous,Late Cretaceous,France,sauropod,15.0,atacis
amygdalodon,herbivorous,Mid Jurassic,Argentina,sauropod,15.0,patagonicus
anchiceratops,herbivorous,Late Cretaceous,Canada,ceratopsian,6.0,ornatus
anchisaurus,herbivorous,Early Jurassic,USA,sauropod,2.0,polyzelous
ankylosaurus,herbivorous,Late Cretaceous,USA,armoured dinosaur,7.0,magniventris
anserimimus,carnivorous,Late Cretaceous,Mongolia,large theropod,3.5,planinychus
antarctosaurus,herbivorous,Late Cretaceous,Uruguay,sauropod,18.0,wichmannianus
apatosaurus,herbivorous,Late Jurassic,USA,sauropod,21.0,ajax
aragosaurus,herbivorous,Early Cretaceous,Spain,sauropod,18.0,ischiadicus
aralosaurus,herbivorous,Late Cretaceous,Kazakhstan,euornithopod,8.0,tuberiferus
archaeoceratops,herbivorous,Early Cretaceous,China,ceratopsian,1.3,oshimai
archaeopteryx,carnivorous,Late Jurassic,Germany,small theropod,0.5,lithographica
archaeornithomimus,carnivorous,Late Cretaceous,Uzbekistan,small theropod,3.5,asiaticus
argentinosaurus,herbivorous,Late Cretaceous,Argentina,sauropod,35.0,huinculensis
arrhinoceratops,herbivorous,Late Cretaceous,Canada,ceratopsian,6.0,brachyops
atlascopcosaurus,herbivorous,Early Cretaceous,Australia,euornithopod,3.0,loadsi
aucasaurus,carnivorous,Late Cretaceous,Argentina,large theropod,5.0,garridoi
austrosaurus,herbivorous,Early Cretaceous,Australia,sauropod,15.0,mckillopi
avaceratops,herbivorous,Late Cretaceous,USA,ceratopsian,2.3,lammersi
avimimus,omnivorous,Late Cretaceous,Mongolia,small theropod,1.5,portentosus
bactrosaurus,herbivorous,Late Cretaceous,China,euornithopod,6.0,johnsoni
bagaceratops,herbivorous,Late Cretaceous,Mongolia,ceratopsian,1.0,rozhdestvenskyi
bambiraptor,carnivorous,Late Cretaceous,USA,small theropod,1.0,feinbergorum
barapasaurus,herbivorous,Early Jurassic,India,sauropod,14.0,tagorei
barosaurus,herbivorous,Late Jurassic,USA,sauropod,24.0,lentus
baryonyx,carnivorous,Early Cretaceous,United Kingdom,large theropod,10.0,walkeri
becklespinax,carnivorous,Early Cretaceous,United Kingdom,large theropod,5.0,altispinax
beipiaosaurus,omnivorous,Early Cretaceous,China,small theropod,2.0,inexpectus
bellusaurus,herbivorous,Mid Jurassic,China,sauropod,5.0,sui
borogovia,carnivorous,Late Cretaceous,Mongolia,small theropod,1.5,gracilicrus
brachiosaurus,herbivorous,Late Jurassic,USA,sauropod,30.0,altithorax
brachylophosaurus,herbivorous,Late Cretaceous,USA,euornithopod,7.0,canadensis
brachytrachelopan,herbivorous,Mid Jurassic,Argentina,sauropod,10.0,mesai
buitreraptor,carnivorous,Late Cretaceous,Argentina,small theropod,1.3,gonzalezorum
camarasaurus,herbivorous,Late Jurassic,USA,sauropod,23.0,supremus
camptosaurus,herbivorous,Late Jurassic,USA,euornithopod,5.0,dispar
carcharodontosaurus,carnivorous,Late Cretaceous,North Africa,large theropod,15.0,saharicus
carnotaurus,carnivorous,Late Cretaceous,Argentina,large theropod,7.6,sastrei
caudipteryx,omnivorous,Early Cretaceous,China,small theropod,1.0,zoui
cedarpelta,herbivorous,Early Cretaceous,USA,armoured dinosaur,10.0,bilbeyhallorum
ceratosaurus,carnivorous,Late Jurassic,USA,large theropod,6.0,nasicornis
cetiosauriscus,herbivorous,Mid Jurassic,United Kingdom,sauropod,15.0,stewarti
cetiosaurus,herbivorous,Mid Jurassic,United Kingdom,sauropod,18.0,oxoniensis
chaoyangsaurus,herbivorous,Late Jurassic,China,ceratopsian,1.1,youngi
chindesaurus,carnivorous,Late Triassic,USA,small theropod,4.0,bryansmalli
chinshakiangosaurus,herbivorous,Late Jurassic,China,sauropod,11.0,zhongheensis
chirostenotes,omnivorous,Late Jurassic,Canada,small theropod,1.7,pergracilis
chubutisaurus,herbivorous,Early Cretaceous,Argentina,sauropod,23.0,insignis
chungkingosaurus,herbivorous,Late Jurassic,China,armoured dinosaur,4.0,jiangbeiensis
citipati,omnivorous,Late Cretaceous,Mongolia,small theropod,2.1,osmolskae
coelurus,carnivorous,Late Jurassic,USA,small theropod,1.8,fragilis
coloradisaurus,omnivorous,Late Triassic,Argentina,sauropod,4.0,brevis
compsognathus,carnivorous,Late Jurassic,Germany,small theropod,0.65,longipes
conchoraptor,carnivorous,Late Cretaceous,Mongolia,small theropod,1.5,gracilis
confuciusornis,carnivorous,Early Cretaceous,China,small theropod,0.25,sanctus
corythosaurus,herbivorous,Late Cretaceous,USA,euornithopod,10.0,casuarius
cryolophosaurus,carnivorous,Early Jurassic,Antarctica,large theropod,8.0,elliotti
dacentrurus,herbivorous,Late Jurassic,United Kingdom,armoured dinosaur,6.0,armatus
daspletosaurus,carnivorous,Late Cretaceous,Canada,large theropod,9.0,torosus
datousaurus,herbivorous,Mid Jurassic,China,sauropod,15.0,bashanensis
deinocheirus,omnivorous,Late Cretaceous,Mongolia,large theropod,10.0,mirificus
deinonychus,carnivorous,Early Cretaceous,USA,small theropod,3.0,antirrhopus
deltadromeus,carnivorous,Late Cretaceous,Morocco,large theropod,8.1,agilis
dicraeosaurus,herbivorous,Late Jurassic,Tanzania,sauropod,20.0,hansemanni
diplodocus,herbivorous,Late Jurassic,USA,sauropod,26.0,longus
dromaeosaurus,carnivorous,Late Cretaceous,USA,small theropod,1.8,albertensis
dromiceiomimus,omnivorous,Late Cretaceous,Canada,large theropod,3.5,brevitertius
dryosaurus,herbivorous,Late Jurassic,USA,euornithopod,4.0,altus
dryptosaurus,carnivorous,Late Cretaceous,USA,large theropod,6.4,aquilunguis
edmontonia,herbivorous,Late Cretaceous,Canada,armoured dinosaur,4.0,longiceps
edmontosaurus,herbivorous,Late Cretaceous,Canada,euornithopod,13.0,regalis
einiosaurus,herbivorous,Late Cretaceous,USA,ceratopsian,6.0,procurvicornis
elaphrosaurus,carnivorous,Late Jurassic,Tanzania,large theropod,6.2,bambergi
emausaurus,herbivorous,Mid Jurassic,Germany,armoured dinosaur,2.0,ernsti
eoraptor,carnivorous,Late Triassic,Argentina,small theropod,1.0,lunensis
eotyrannus,carnivorous,Early Cretaceous,United Kingdom,large theropod,5.0,lengi
erketu,herbivorous,Early Cretaceous,Mongolia,sauropod,15.0,ellisoni
erlikosaurus,omnivorous,Late Cretaceous,Mongolia,small theropod,3.4,andrewsi
euhelopus,herbivorous,Late Jurassic,China,sauropod,10.0,zdanskyi
europasaurus,herbivorous,Late Jurassic,Germany,sauropod,6.2,holgeri
eustreptospondylus,carnivorous,Mid Jurassic,United Kingdom,large theropod,7.0,oxoniensis
fukuiraptor,carnivorous,Early Cretaceous,Japan,large theropod,4.2,kitadaniensis
fukuisaurus,herbivorous,Early Cretaceous,Japan,euornithopod,4.7,tetoriensius
gallimimus,omnivorous,Late Cretaceous,Mongolia,large theropod,6.0,bullatus
gargoyleosaurus,herbivorous,Late Jurassic,USA,armoured dinosaur,4.0,parkpinorum
garudimimus,omnivorous,Late Cretaceous,Mongolia,large theropod,4.7,brevipes
gasosaurus,carnivorous,Mid Jurassic,China,small theropod,4.0,constructus
gasparinisaura,herbivorous,Late Cretaceous,Argentina,euornithopod,0.8,cincosaltensis
gastonia,herbivorous,Early Cretaceous,USA,armoured dinosaur,4.6,burgei
giganotosaurus,carnivorous,Early Cretaceous,Argentina,large theropod,12.5,carolinii
gilmoreosaurus,herbivorous,Late Cretaceous,China,euornithopod,6.0,mongoliensis
